uid,difficulty,same_io_shape,n_test
025d127b,Easy,True,1
05269061,Easy,True,1
05f2a901,Easy,True,1
06df4c85,Easy,True,1
08ed6ac7,Easy,True,1
0962bcdd,Easy,True,1
0a938d79,Easy,True,1
0b148d64,Easy,False,1
0d3d703e,Easy,True,1
11852cab,Easy,True,1
1190e5a7,Easy,False,1
137eaa0f,Easy,False,1
150deff5,Easy,True,1
178fcbfb,Easy,True,1
1a07d186,Easy,True,1
1bfc4729,Easy,True,1
1c786137,Easy,False,1
1cf80156,Easy,False,1
1e0a9b12,Easy,True,1
1e32b0e9,Easy,True,1
1f642eb9,Easy,True,1
1f85a75f,Easy,False,1
1f876c06,Easy,True,1
1fad071e,Easy,False,1
2204b7a8,Easy,True,1
2281f1f4,Easy,True,1
228f6490,Easy,True,1
22eb0ac0,Easy,True,1
23581191,Easy,True,1
23b5c85d,Easy,False,1
253bf280,Easy,True,1
25d487eb,Easy,True,1
25ff71a9,Easy,True,2
272f95fa,Easy,True,1
28bf18c6,Easy,False,1
28e73c20,Easy,True,1
29623171,Easy,True,1
29c11459,Easy,True,1
29ec7d0e,Easy,True,1
2dc579da,Easy,False,1
2dee498d,Easy,False,1
31aa019c,Easy,True,1
32597951,Easy,True,1
3618c87e,Easy,True,1
363442ee,Easy,True,1
36fdfd69,Easy,True,1
3906de3d,Easy,True,1
39a8645d,Easy,False,1
39e1d7f9,Easy,True,1
3aa6fb7a,Easy,True,1
3ac3eb23,Easy,True,1
3bdb4ada,Easy,True,1
3eda0437,Easy,True,1
3f7978a0,Easy,False,1
40853293,Easy,True,1
4093f84a,Easy,True,1
41e4d17e,Easy,True,1
4258a5f9,Easy,True,1
4347f46a,Easy,True,1
444801d8,Easy,True,1
445eab21,Easy,False,1
44d8ac46,Easy,True,1
44f52bb0,Easy,False,2
4522001f,Easy,False,1
4612dd53,Easy,True,1
48d8fb45,Easy,False,1
496994bd,Easy,True,1
4c4377d9,Easy,False,1
4c5c2cf0,Easy,True,1
508bd3b6,Easy,True,1
50cb2852,Easy,True,1
5117e062,Easy,False,1
5168d44c,Easy,True,1
53b68214,Easy,False,2
54d82841,Easy,True,1
54d9e175,Easy,True,1
5521c0d9,Easy,True,1
5582e5ca,Easy,True,1
5614dbcf,Easy,False,1
56dc2b01,Easy,True,1
56ff96f3,Easy,True,1
5ad4f10b,Easy,False,1
5bd6f4ac,Easy,False,1
5c0a986e,Easy,True,1
60b61512,Easy,True,1
6150a2bd,Easy,True,1
623ea044,Easy,True,1
6455b5f5,Easy,True,1
662c240a,Easy,False,1
67385a82,Easy,True,1
673ef223,Easy,True,1
67a3c6ac,Easy,True,1
67a423a3,Easy,True,1
67e8384a,Easy,False,1
681b3aeb,Easy,False,1
6855a6e4,Easy,True,1
68b16354,Easy,True,1
694f12f3,Easy,True,1
6a1e5592,Easy,True,1
6aa20dc0,Easy,True,1
6b9890af,Easy,False,1
6c434453,Easy,True,1
6cdd2623,Easy,True,1
6cf79266,Easy,True,1
6d0aefbc,Easy,False,1
6d58a25d,Easy,True,1
6d75e8bb,Easy,True,1
6e02f1e3,Easy,True,1
6e19193c,Easy,True,1
6f8cd79b,Easy,True,1
6fa7a44f,Easy,False,1
72ca375d,Easy,False,1
7447852a,Easy,True,1
746b3537,Easy,False,1
74dd1130,Easy,True,1
776ffc46,Easy,True,1
780d0b14,Easy,False,1
794b24be,Easy,True,2
7b6016b9,Easy,True,1
7ddcd7ec,Easy,True,1
7e0986d6,Easy,True,1
7f4411dc,Easy,True,1
810b9b61,Easy,True,1
83302e8f,Easy,True,1
8403a5d5,Easy,True,1
846bdb03,Easy,False,1
855e0971,Easy,True,1
85c4e7cd,Easy,True,1
868de0fa,Easy,True,1
88a10436,Easy,True,1
8a004b2b,Easy,False,1
8be77c9e,Easy,False,1
8d5021e8,Easy,False,1
8e1813be,Easy,False,1
8eb1be9a,Easy,True,1
90c28cc7,Easy,False,1
90f3ed37,Easy,True,1
913fb3ed,Easy,True,1
91714a58,Easy,True,1
9172f3a0,Easy,False,1
928ad970,Easy,True,1
93b581b8,Easy,True,1
941d9a10,Easy,True,1
952a094c,Easy,True,1
95990924,Easy,True,1
963e52fc,Easy,False,1
97999447,Easy,True,1
98cf29f8,Easy,True,1
995c5fa3,Easy,False,1
99fa7670,Easy,True,1
9af7a82c,Easy,False,1
9f236235,Easy,False,1
a1570a43,Easy,True,1
a2fd1cf0,Easy,True,1
a3df8b1e,Easy,True,1
a416b8f3,Easy,False,1
a48eeaf7,Easy,True,1
a5313dff,Easy,True,1
a5f85a15,Easy,True,1
